업소명,도로명주소,연락처,메뉴1,메뉴2,메뉴3,메뉴4,메뉴5,메뉴6
뜰안채,광주광역시 동구 문화전당로26번길 10-12,062-234-8118,한정식,,,,,
가족,광주광역시 동명로 50,062-222-3845,한정식,,,,,
광양숯불구이,광주광역시 동구 필문대로 229 ,062-226-8080,소갈비,,,,,
관가,광주광역시 동구 의재로96번길 18 ,062-226-0040,오리구이,,,,,
소나무,광주광역시 동구 갈마로 50,062-251-3900,소갈비,,,,,
동원게장백반,광주광역시 동구 지호로 128 ,062-223-7200,게장백반,,,,,
민속식당,광주광역시 동구 문화전당로 37-2,062-227-2003,돼지갈비,,,,,
유생촌,광주광역시 동구 충장로2가 3-2,062-222-5200,돈까스,,,,,
아리랑하우스,광주광역시 동구 무등로321번길 2,062-529-2888,한정식,,,,,
신락원,광주광역시 동구 충장로5가 43,062-225-9408,중식,,,,,
쌍학,광주광역시 동구 구성로152번길 13 ,062-223-4159,생선회,,,,,
제일중화요리,광주광역시 동구 구성로 174 (금남로5가),062-223-6395,석화짬뽕,제일짜장,산향갈비,제일삼선짬뽕,삼선삭스핀,
백운산,광주광역시 동구 구성로194번길 29 (대인동),062-222-4569,생대구탕,민어탕,돌솥비빔밥,삼겹살,,
제주삼다갈치,"광주광역시 동구 구성로204번길 13 (대인동,(1,2층))",062-233-4747,갈치조림,갈치구이,추어탕,오리로스,대구탕,
찜이랑조림이랑,"광주광역시 동구 구성로204번길 28 (대인동,(1층))",062-225-2332,아구찜,병어조림,갈치조림,고등어조림,조기매운탕,
고려조삼계탕,광주광역시 동구 금남로 231 (금남로2가),062-224-2525,삼계탕,약삼계탕,오골계,,,
꽃담,"광주광역시 동구 금남로193-12(금남로4가, 1층)",062-224-1900,명품꽃살,토시살,안창살.생고기,돼지갈비,,
미도,광주광역시 동구 남문로 682(학동),062-228-0106,사시미,사시미스페셜,참치스페셜,전복사시미,참치VIP,
원조장수,광주광역시 동구 동계천로 12-1 (대인동),062-225-9612,돼지갈비,,,,,
남다른감자탕,"광주광역시 동구 서석로 24, 나동 지상1층 123호 (불로동)",062-234-2114,남자탕,본좌탕,활력보감탕전골,여신뼈찜,,
마한지,"광주광역시 동구 문화전당로341(광산동, 1,2층)",062-234-9261,마늘갈비,돼지갈비,소갈비,쌈밥,냉면,
달1-26,"광주광역시 동구 중앙로160번길 16-5 (불로동,(1층))",062-233-3378,닭탕,매운돼지갈비,갈치조림,,,
맛삼,"광주광역시 동구 서석로7번길 6-46 (불로동,(1층))",062-226-4133,삼겹살,갈비찜,주물럭,제육볶음,애호박찌게,
나비야청산가자,광주광역시 동구 성촌길1(운림동) ,062-263-4477,돼지바베큐,약오리,오리로스,오리떡,갈비, 도토리수제비
가미헌,광주광역시 동구 제봉로82번길 17 (서석동),062-227-5888,탕수육,호두크린새우,깐소새우,깐풍기,팔보채,
윤영,"광주광역시 동구 서석로10번길 5 (불로동,(1층))",062-226-4133,삼겹살,갈비찜,주물럭,제육볶음,애호박찌게,
청원모밀,광주광역시 동구 중앙로 174-1 (충장로3가),062-222-2210,모밀국수,유부모밀,마른모밀,모밀짜장,김치모밀,
무진보,광주광역시 동구 중앙로 196번길 20(충장로2가),062-223-9539,한방약오리백숙,주물럭,오리생구이,오리불고기,오리백숙,
춘추관,광주광역시 동구 문화전당로26번길 8 (남동),062-228-3388,생고기(육사시),불고기백반,갈비살,비빔밥(생비),,
행복식당,광주광역시 동구 증심사길30번길 21(운림동),062-225-1672,보리밥,,,,,
큰솥딴지,"광주광역시 동구 서석로7번길 6-30 (불로동,(1,2층))",062-222-7722,설렁탕,갈비탕,곰탕,삼결살,,
초야모밀앤메밀,"광주광역시 동구 증심사길30번길 8(운림동, 2층)",062-233-0700,메밀국수,메밀짜장,수제모리소바,메밀묵밥,,
산에들에,"광주광역시 동구 증심천로118(학동, 1층)",062-433-4332,한정식,,,,,
통큰국밥,"광주광역시 동구 충장로58번길 18-2 (충장로4가,(1층))",062-430-9908,매운양푼갈비,곱창야채철판,원조국밥,머리국밥,,
㈜명선헌,광주광역시 동구 지호로 127번길 11(지산동),062-228-2942,한정식A코스,한정식B코스,한정식특A코스,,,
양만휘해물생합칼국수,광주광역시 동구 지호로 158 (지산동),062-224-2488,해물백합칼국수,해물백합수제비,팥칼국수,새알팥죽,왕만두,
톰슨바닷가재,광주광역시 동구 지호로124번길 10-1(지산동),062-227-0644,바닷가재단일코스,바닷가재풀코스,,,,
베네치아,광주광역시 동구 지호로124번길 16(지산동),062-227-9363,스테이크,샐러드바,,,,
무등산흑염소,광주광역시 동구 지호로124번길 32 (지산동),062-233-5292,흑염소전골,수육,코스,,,
팔도강산,광주광역시 동구 지호로127번길 10-7(지산동),062-222-3682,보리밥,게장백반,촌닭백숙,닭도리탕,,
남가정 ,광주광역시 동구 지호로137-7(지산동),062-227-4114,한우떡갈비퓨전한정식,돼지떡갈비퓨전한정식,,,,
황토마을,"광주광역시 동구 지호로160번길 10, B동 1층 (지산동)",062-227-9604,두부전골,두부보쌈,떨갈비스페셜,순두부찌게,,
무등산보리밥,광주광역시 동구 지호로160번길 9 (지산동),062-232-9116,보리밥뷔페,삼계탕,촌닭도리탕,오리백숙,옻닭,
등촌칼국수,광주광역시 동구 충장로 101-11 (충장로1가),062-227-7734,등촌샤브샤브셋트,바지락칼국수,석쇠불고기,추어탕,버섯매운탕칼구수,
신성,광주광역시 동구 충장로 101-17 (충장로1가),062-232-0177,상추백반,사골곰탕,돌솥비빔밥,꼬리곰탕,김치전골,
홍능갈비,광주광역시 동구 충장로 101-21 (충장로1가),062-222-1421,한우꽃등심,돌솥비빔밥,삼겹살,육회비빔밥,불고기백반,
향계원,"광주광역시 동구 구성로194번길 20, 1층 (금남로4가)",062-233-9952,백숙,삼계탕,곰탕,닭볶음,,
동해바다,광주광역시 동구 충장로46번길 6-1 (충장로5가),062-224-4844,회정식,상추백반,대구탕,회덮밥,생선초밥,
동명가원식당,광주광역시 동구 필문대로 230 (동명동),062-232-8877,한방돼지갈비,항정살,가브리살,옛날청국장,얼음그릇냉면,
뚱뚱이할머니족발,광주광역시 동구 문화전당로35번길 7,062-227-1986,족발,보쌈,냉채족발,매운양념족발,,
산촌가든,광주광역시 동구 지호로 133,062-223-5165,오리로스,오리불고기,오리전골,황토오리진흙구이,,
무등산보리밥,광주광역시 동구 동구 지호로160번길 9 (지산동),062-232-9116,보리밥,,,,,
물레방아,광주광역시 동구 동구 지호로 137-1 (지산동),062-222-6879,한정식,,,,,
쉬어가는보리밥집,"광주광역시 동구 지호로 137 (지산동,(1층))",062-222-0208,보리밥,,,,,
팔도강산,광주광역시 동구 지호로127번길 10-7 (지산동),062-222-3682,한정식,,,,,
청사초롱,"광주광역시 동구 지호로 158 (지산동,외1필지 (7-3))",062-232-5691,보리밥,닭백숙,,,,
사계절,광주광역시 동구 지호로 157 (지산동),062-222-8848,보리밥,닭백숙,,,,
남가정,광주광역시 동구 지호로 137-7 (지산동),062-227-4114,갈비정식,,,,,
청와정,광주광역시 동구 지호로 78(지산동),062-227-4114,보리밥정식,,,,,
대밭,광주광역시 동구 지호로 179-10 (지산동),062-222-9738,닭백숙,,,,,
팔도가든,광주광역시 동구 지호로 161-18(지산동),062-227-0111,닭백숙,,,,,
향로봉,광주광역시 동구 지호로160번길 17(지산동),062-232-1214,닭백숙,,,,,
감나무집,광주광역시 동구 지호로127번길 19,062-227-2041,보리밥정식,,,,,
강남,광주광역시 동구 지호로 152 (지산동),062-233-8007,명품짬봉,,,,,
톰슨바닷가제,"광주광역시 동구 지호로124번길 10-1 (지산동,(1층))",062-227-0644,바닷가재정식,,,,,
양만휘해물 생합칼국수,"광주광역시 동구 지호로 158 (지산동,외1필지)",062-224-2488,보양탕,동태탕,,,,
베네치아,"광주광역시 동구 지호로124번길 16 (지산동,(2층))",062-227-9363,샐러드바,스테이크,,,,
팔도강산별관,"광주광역시 동구 지호로127번길 10-1 (지산동,(1층))",062-223-3682,생선구이정식,,,,,
황토마을,"광주광역시 동구 지호로160번길 10, B동 1층 (지산동)",062-227-9604,순두부,순두부전골,,,,
와사등,광주광역시 동구 지호로164번길 35-1(지산동),062-233-3770,아구찜,닭백숙,,,,
동원게장,광주광역시 동구 지호로 128,062-223-7200,게장백반,,,,,
무등산흙염소,광주광역시 동구 지호로 124번길 32,062-233-5292,양탕,,,,,
시에테벨리,광주광역시 동구 지호로 175,062-232-1150,경양식,,,,,
지산골보리밥,광주광역시 동구 지호로 127번길 29,062-225-0776,보리밥정식,,,,,
레드포인트,광주광역시 동구 지호로164번길 35-1,062-225-6642,경양식,,,,,
향로정,광주광역시 동구 지호로 160번길11,062-222-7653,보리밥정식,,,,,
행복식당,"광주광역시 동구 증심사길30번길 21 (운림동,(1,2층))",062-225-1672,보리밥뷔페,,,,,
나비야청산가자,광주광역시 동구 성촌길 1,062-263-4477,공기밥,,,,,
전원일기,"광주광역시 동구 증심사길30번길 43 (운림동,(1층))",062-226-5656,보리밥,닭백숙,,,,
곳간(무등산점),광주광역시 동구 성촌길 21,062-236-3652,공기밥,,,,,
바보죽힐링까페,"광주광역시 동구 증심사길30번길 45(운림동,1층)",062-223-5678,보리밥,영양죽,,,,
전북식당,광주광역시 동구 증심사길 28-16,062-227-1449,보리밥,,,,,
초야모밀&메밀,"광주광역시 동구 증심사길30번길 8 (운림동,(2층))",062-237-0700,국수,,,,,
중머리재,"광주광역시 동구 증심사길30번길 12 (운림동,(1.2층))",062-225-5282,보리밥,닭백숙,,,,
대지식당,"광주광역시 동구 증심사길30번길 27 (운림동,(1.2층))",062-227-2873,보리밥뷔페,,,,,
담양국수,광주광역시 동구 증심사길30번길 28-3,062-226-1178,공기밥-보리,,,,,
부곡정,"광주광역시 동구 증심사길30번길 31 (운림동,(1.2층))",062-234-5292,보리밥,닭백숙,,,,
수림식당,"광주광역시 동구 증심사길30번길 10-1 (운림동,(1층))",062-223-0028,보리밥,닭백숙,,,,
우리집,"광주광역시 동구 증심사길30번길 33 (운림동,(1층))",062-222-5518,보리밥전문,,,,,
대호식당,광주광역시 동구 증심사길30번길 37,062-227-7833,보리밥,,,,,
황태국수,광주광역시 동구 증심사길30번길 39,062-222-4653,국수,,,,,
수정,광주광역시 동구 증심사길30번길 39,062-233-1514,보리밥,닭백숙,,,,
명승1,"광주광역시 동구 증심사길30번길 47 (운림동,(1층))",062-227-3849,보리밥,,,,,
전국시대,"광주광역시 동구 증심사길30번길 41 (운림동,(1층))",062-228-0079,보리밥,닭백숙,,,,
미연회타운,광주광역시 동구 무등로 326,062-227-4743,아구찜,,,,,
양촌추어탕,광주광역시 동구 중앙로196번길 30-6,062-222-0534,추어탕,,,,,
내일또식당,광주광역시 동구 금남로233-4,062-226-1888,민어매운탕,,,,,
한국별관,광주광역시 동구 구성로 217,062-223-7605,삼겹살,,,,,
화원,광주광역시 동구 동계천로95번길 3,062-222-2225,한정식,병어조림,,,,
재미it닭,광주광역시 동구 필문대로187번길 1-3,062-233-2590,닭튀김,,,,,
앨비스2,광주광역시 동구 백서로 177,062-232-1025,치킨,,,,,
광주함흥냉면,광주광역시 동구 동명로110번길 13,062-222-2080,냉면,삼겹살,백반,,,
홍대칼국수와족발,광주광역시 동구 충장로안길 7-1,062-236-2843,칼국수,,,,,
통큰국밥,광주광역시 동구 충장로58번길 18-2,062-430-9908,국밥,,,,,
청하,광주광역시 동구 충장로 45-12,062-223-7037,생선회,,,,,
삼희,광주광역시 동구 구성로 164,062-225-3233,불낙전골,,,,,
새동해바다,광주광역시 동구 충장로46번길 6-1,062-224-4844,생선회,,,,,
동해바다,광주광역시 동구 충장로46번길 6-1,062-224-4844,생선회,,,,,
우리집,광주광역시 동구 구성로152번길 28 ,062-222-6692,삼겹살,,,,,
이조해장국,광주광역시 동구 중앙로160번길 18-1,062-233-6729,해장국,,,,,
본토광주찜닭,광주광역시 동구 중앙로160번길 31-6,062-223-5374,찜닭,,,,,
장수마을풍천장어,광주광역시 서구 풍서우로 124(매월동),062-655-9233,장어구이,장어탕,,,,
김가원,광주광역시 서구 상무민주로123번길 13-7(쌍촌동),062-382-8700,홍어삼합,홍어찜,,,,
27년,광주광역시 서구 상무오월로43번길 3-12(쌍촌동),062-372-5279,오리훈제,오리불고기,,,,
행복한 밥상,광주광역시 서구 내방로246번길 16(쌍촌동),062-383-5295,생선구이,코다리찜,,,,
월화수웰,광주광역시 서구 상무민주로 23-1(쌍촌동),062-385-8080,한정식,계절음식,,,,
(주)예지원,광주광역시 서구 운천로204번길 23(쌍촌동),062-371-5566,한정식,,,,,
계림,광주광역시 서구 내방로 33(치평동),062-383-3308,삼계탕,,,,,
무한장어,광주광역시 서구 상무중앙로 71(치평동),062-382-0778,장어구이,장어탕,,,,
꽃마름,광주광역시 서구 치평로 80(치평동),062-385-8992,월남쌈,샤브샤브,,,,
다부,광주광역시 서구 상무중앙로 95(치평동),062-381-3533,회정식,대구탕,,,,
(주)어울림 숯불구이,광주광역시 서구 상무시민로 129(치평동),062-371-9255,돼지숯불갈비,,,,,
해물의제왕,광주광역시 서구 상무시민로 133-9(치평동),062-384-9593,해물전골,해물뚝배기,,,,
우돈미가,광주광역시 서구 상무중앙로104번길 14(치평동),062-375-1661,소고기,삼겹살,,,,
서울깍두기,광주광역시 서구 상무시민로 97-6(치평동),062-385-2123,설렁탕,수육,,,,
개화(開花),광주광역시 서구 상무연하로 81(치평동),062-351-0008,양장피,중화요리,,,,
삼겹살파티,광주광역시 서구 상무시민로 99(치평동),062-381-5565,삼겹살,,,,,
신락원,광주광역시 서구 상무시민로 95-2(치평동),062-223-6849,짬뽕,탕수육,중화요리,,,
달불,광주광역시 서구 상무중앙로78번길 5-2(치평동),062-381-2358,생선구이,생선요리,,,,
금다연,광주광역시 서구 상무연하로 72(치평동),062-385-8788,한정식,,,,,
김밥랜드,광주광역시 서구 상무연하로 72(치평동),062-385-3891,김밥,분식,,,,
김육갑상무점,광주광역시 서구 상무번영로 52(치평동),062-383-3692,삼겹살,,,,,
하이난,광주광역시 서구 상무시민로 136(치평동),062-372-0000,중화요리,,,,,
조소영 닭갈비 전문점,광주광역시 서구 시청로60번길 21-9(치평동),062-381-9669,닭갈비,,,,,
상무 옛날순대,광주광역시 서구 상무번영로 48(치평동),062-384-4300,순대국밥,순대요리,,,,
가매스시,광주광역시 서구 상무시민로 136(치평동),062-383-9171,회초밥,정식,,,,
마천루,광주광역시 서구 상무연하로 60(치평동),062-381-8006,짜장,짬뽐,중화요리,,,
월산로타리별미해장국,광주광역시 서구 상무연하로 55(치평동),062-383-5533,해장국,,,,,
무너섬(상무점),광주광역시 서구 상무연하로 48(치평동),062-372-5666,문어숙회,문어요리,,,,
해산,광주광역시 서구 상무번영로 14(치평동),062-384-6622,일식,초밥,,,,
고다미,광주광역시 서구 상무자유로 170(치평동),062-373-9600,일식,초밥,,,,
타니 비엔날레점,광주광역시 서구 상무연하로 31(치평동),062-714-1002,스테이크,삼겹살바베큐,,,,
타노시미,광주광역시 서구 상무연하로 31(치평동),062-714-1006,사시미,초밥,,,,
고려조삼계탕 상무점,광주광역시 서구 상무연하로 29(치평동),062-371-8886,삼계탕,,,,,
피렌체관광호텔,광주광역시 서구 상무중앙로38번길 5-8(치평동),062-384-8877,한정식,일식,,,,
한국관,광주광역시 서구 상무연하로 19(치평동),062-373-0701,생고기,갈비살,,,,
종가집 설렁탕,광주광역시 서구 시청로20번길 10(치평동),062-374-0015,설렁탕,전골,,,,
우정설렁탕,광주광역시 서구 상무화원로11번길 7,062-381-8225,설렁탕,갈비탕,,,,
옛음식토박이,광주광역시 서구 상무공원로 11(치평동),062-373-5427,한정식,굴비정식,,,,
초원칡냉면,광주광역시 서구 상무공원로 11(치평동),062-371-8181,냉면,갈치조림,,,,
우리밀로(路)칼국수 밀고(GO)말고(GO),광주광역시 서구 상무공원로 1(치평동),062-366-3600,칼국수,샤브샤브,,,,
미선,광주광역시 서구 상무대로 749(치평동),062-384-5512,계절음식,한정식,,,,
루키차이나,광주광역시 서구 상무화원로32번길 13-18(치평동),062-383-4798,중화요리,,,,,
장비숯불구이,광주광역시 서구 상무화원로32번길 29-3(치평동),062-383-5296,갈매기살,삼겹살,,,,
광양숯불구이,광주광역시 서구 상무대로 867번길 23(치평동),062-375-9292,숯불구이,,,,,
삼백집,광주광역시 서구 상무대로 867번길 23-2(치평동),062-376-9119,콩나물국밥,선지국밥,,,,
영빈관,광주광역시 서구 풍암순환로 128번길 75(풍암동),062-384-6000,한정식,,,,,
중앙회관,광주광역시 서구 무진대로 904(광천동),062-362-8307,한식,,,,,
전주한일관,광주광역시 서구 무진대로 904(광천동),062-360-1979,비빔밥,,,,,
차이나타운,광주광역시 서구 무진대로 904(광천동),062-360-1985,중화요리,,,,,
대윤,광주광역시 서구 무진대로 904(광천동),062-368-0118,초밥,알탕,,,,
미미락,"광주광역시 서구 무진대로 944, 지하1층(신세계백화점)",062-368-4042,메밀,우동,,,,
가매일식,광주광역시 서구 상무대로 1104-26(농성동),062-352-7712,일식,,,,,
조선한정식,광주광역시 서구 상무대로 1096(농성동),062-365-6822,한정식,굴비정식,,,,
짚터(상무점),광주광역시 서구 상무중앙로 71(치평동),062-384-6111,볏집삼겹살,,,,,
제주항해물탕,광주광역시 서구 상무중앙로 71(치평동),062-383-3334,해물탕,,,,,
