업소명,도로명주소,연락처,메뉴1,메뉴2,메뉴3,메뉴4,메뉴5,메뉴6
옥천면옥,광주광역시 북구 무등로 144(신안동),062-528-3888,갈비,냉면,,,,
면앤면추억의가락국수,광주광역시 북구 무등로 235(중흥동),062-525-1170,가락국수,,,,,
춘천호반닭갈비,광주광역시 북구 무등로 3(운암동),062-526-7028,닭갈비,,,,,
오얏리돌솥밥,광주광역시 북구 밤실로 178(두암동),062-267-8502,오얏돌솥밥,표고전골,,,,
나주곰탕,광주광역시 북구 북문대로 160(운암동),062-521-2762,수육,곰탕,,,,
만리장성,광주광역시 북구 북문대로 42(운암동),062-511-6915,중화요리(코스요리),,,,,
다연,광주광역시 북구 비엔날레로 183-5 (용봉동),062-267-0110,간장게장정식,굴비정식,다연한정식,,,
산수모밀,광주광역시 북구 서방로 1-1(중흥동),062-266-0999,온모밀,마른모밀,,,,
대뜰향,광주광역시 북구 서하로 129(매곡동),062-574-5279,한방오리보쌈,오리불고기,,,,
전승규감자탕이야기,광주광역시 북구 서하로 153(매곡동),062-266-0385,감자탕,뼈찜,,,,
털보네집,광주광역시 북구 서하로 382(문흥동),062-263-0976,석갈비,생오리구이,,,,
태청일식,광주광역시 북구 설죽로 171번길 7 (용봉동),062-528-3335,자연산사시미,복사시미,복탕,,,
원조매일국밥,광주광역시 북구 용봉택지로 60(용봉동),062-515-3488,내장국밥,곱창전골,모듬수육,,,
무한사랑,광주광역시 북구 용봉택지로 61(용봉동),062-524-1070,김치찌개,부대찌개,삼겹살,,,
정고집볼테기,광주광역시 북구 용봉택지로 69(용봉동),062-653-9494,볼테기해물찜,볼테기탕,,,,
샤브향(용봉점),광주광역시 북구 우치로 100번길 15(용봉동),062-263-0963,월남쌈샤브,,,,,
패밀리농원㈜,광주광역시 북구 우치로 565(일곡동),062-574-6677,돼지갈비,삼겹살,숯불구이,,,
강의리추어탕,광주광역시 북구 우치로 61(중흥동),062-527-0937,추어탕,,,,,
새경민회관,광주광역시 북구 우치로 61(중흥동),062-267-1700,비빔밥,육회,,,,
야래향,광주광역시 북구 우치로 62(중흥동),062-513-5995,탕수육,짬뽕,자장면,,,
뿌리,광주광역시 북구 운용로 79(용봉동),062-525-3332,한정식,,,,,
가보세,광주광역시 북구 운용로 95번길 5-7(용봉동),062-514-0029,보리밥정식,삼합,석화전,,,
알프스,광주광역시 북구 일곡로 7-12  (일곡동),062-572-0405,돈가스,스테이크,,,,
예담,광주광역시 북구 일곡마을로 121  (일곡동),062-571-0618,퓨전한정식,어머니밥상,아버지술상,,,
커유,광주광역시 북구 일곡마을로 159 (일곡동),062-575-0239,핸드드립,더치,사이폰,,,
토방흑염소,광주광역시 북구 일곡마을로 161 (일곡동),062-574-8597,흑염소탕,수육,전골,,,
행랑채,광주광역시 북구 일곡마을로 165 (일곡동),062-575-8228,산채나물정식,갈치조림,제육볶음,,,
빈스키친,광주광역시 북구 일곡마을로 168  (일곡동),062-251-0335,피자,파스타,샐러드,,,
황실장가계,광주광역시 북구 일곡마을로 171(일곡동),062-576-4749,자장면,탕수육,,,,
산음내주물럭전문점,광주광역시 북구 일곡마을로 173-1 (일곡동),062-573-0900,삼계탕,오리주물럭,오리전골,,,
데이지더비스트로,광주광역시 북구 일곡마을로148  (일곡동),062-575-0070,데이지돈가스정식,데이지비스트로세트,,,,
시냅스,광주광역시 북구 일곡마을로158-1 (일곡동),062-574-6262,아메리카노,생과일음료,수제와플,,,
콩드레스,광주광역시 북구 일곡마을로162 (일곡동),062-575-7288,아메리카노,에스프레소,,,,
이바돔감자탕,광주광역시 북구 일곡택지로 65(일곡동),062-576-8253,감자탕,감자찜,묵은지찌개,,,
동해대게,광주광역시 북구 저불로 1 (용봉동),062-529-3005,굴비정식,회정식,대게찜,활어회,,
금수산한우명가,광주광역시 북구 저불로 29(용봉동),062-514-1239,한우생고기,한우안창살,,,,
참치조치,광주광역시 북구 저불로 36(용봉동),062-526-5572,참치회,,,,,
화풍,광주광역시 북구 저불로 66(용봉동),062-511-3395,중화요리(코스요리),,,,,
제주도세기마을,광주광역시 북구 저불로 69번길 29(용봉동),062-511-2303,숯불구이,,,,,
산천애장어,광주광역시 북구 저불로 77(용봉동),062-511-4952,장어소금구이,장어양념구이,장어탕,,,
태능참숯불갈비,광주광역시 북구 저불로 81 (용봉동),062-526-5560,참숯불갈비구이,,,,,
영암매실한우,광주광역시 북구 저불로 88(용봉동),062-522-5933,암소구이,불고기백반,냉면,,,
달수한정식,광주광역시 북구 저불로 94(용봉동),062-511-8989,한정식,,,,,
맵촌용봉본점,광주광역시 북구 저불로8 (용봉동),062-529-9399,아구찜,매생이아구찜,흑대구전골,,,
장군알요리전문점,광주광역시 북구 청계로 74(용봉동),062-514-9540,알탕,,,,,
장군,광주광역시 북구 청계로 81(용봉동),062-575-8885,참치회,,,,,
초유지,광주광역시 북구 하서로 523번길11(용두동),062-571-1137,돼지갈비,도토리수제비,,,,
대사랑건강밥상,"광주광역시 북구서하로 91, 2층(매곡동)",062-514-1472,건강밥상,매콤해물갈비찜,삼채홍어무침,,,
금수저은수저,"광주광역시 광산구 신창로166번길24,1층(신창동)",062-951-0204,한정식,,,,,
장군뷔페,"광주광역시 광산구 송도로85번길 56-27 (도산동,(1층))",062-942-6663,뷔페,장어구이,,,,
바리애,광주광역시 광산구 남동길48번길 25 (도산동),062-941-3335,족발,보쌈,,,,
상춘각,"광주광역시 광산구 송도로 208, 1층 (도산동)",062-942-9996,삼선짬뽕,,,,,
신송숯불갈비,"광주광역시 광산구 광산로19번길 26 (송정동,(1층))",062-942-1666,떡갈비,비빕밥,,,,
동해반점,광주광역시 광산구 광산로 15 (송정동),062-944-9126,삼선짜장,탕수육,,,,
태화반점,광주광역시 광산구 광산로 6-4 (송정동),062-943-8225,삼선짜장,탕수육,,,,
이바돔감자탕(수완점),"광주광역시 광산구 장신로 163 (수완동,(2층))",062-956-1090,감자탕,,,,,
안압지,"광주광역시 광산구 수완로 69, 1층 (수완동)",062-956-9292,오리고기,삼겹살,,,,
한우한마당,"광주광역시 광산구 왕버들로 207, 1층 (수완동)",062-961-7411,꽃등심,비빕밥,,,,
육영한우&돈,"광주광역시 광산구 장신로148번길 11 (수완동,(1,2층))",062-955-9290,꽃등심,삼겹살,,,,
칭찬,"광주광역시 광산구 목련로394번길 31-27, 1층 (신가동)",062-962-7718,짜장면,짬뽕,탕수육,,,
수완상추튀김,"광주광역시 광산구 장신로 185, 1층 (수완동)",062-962-0800,상추튀김,떡복이,,,,
하이난,"광주광역시 광산구 수등로 261-7, 1층 (신가동)",062-956-0925,짜장면,짬뽕,탕수육,,,
일품화로구이,"광주광역시 광산구 왕버들로265번길 7-7 (신창동,(1층))",062-951-3192,가브리살,삼겹살,,,,
담소촌,"광주광역시 광산구 왕버들로252번길 5 (신창동,(1층))",062-653-9200,돼지숫불갈비,,,,,
함평한우촌,"광주광역시 광산구 임방울대로800번길11-10, (월계동)",062-972-9234,안창살,꽃등심,갈비살,,,
꽃뜨락,"광주광역시 광산구 무진대로212번길 29-23, 1층 (우산동)",062-951-5225,오리로스,오리불고기,,,,
초정,"광주광역시 광산구 임방울대로 156, 1층,2층 (운남동)",062-954-0123,떡갈비정식,갈비탕,꽃등심,,,
석마루,광주광역시 광산구 임방울대로826번길 20 (월계동),062-973-0091,꽃삽겹살,석갈비,돌솥쌈밥,,,
백련지,광주광역시 광산구 임방울대로800번길 13 (월계동),062-973-0792,돼지갈비,우렁된장쌈밥,,,,
다미향녹차손짜장,"광주광역시 광산구 임방울대로800번길 11-6 (월계동,1.2층)",062-971-9542,짬뽕,탕수육,짜장면,,,
영암매력한우수완점,"광주광역시 광산구 왕버들로 11, 나동 1~2층 (장덕동)",062-383-8118,꽃등심,비빕밥,,,,
구육복손짜장,"광주광역시 광산구 동곡로 518, 1층 (장록동)",062-945-7989,손짜장,볶음밥,탕수육,,,
황궁쟁반짜장(하남성),"광주광역시 광산구 하남대로54번안길 51, 1층 (하남동)",062-945-7989,쟁반짜장,쟁반짬봉,,,,
햇살마루,광주광역시 광산구 동곡로185번길15-14(하산동),062-943-6611,게장백반,,,,,
오리하우스,"광주광역시 광산구 용아로380번길 55,2층(산정동)",062-951-5263,오리전골,오리구이,,,,
청해진의꿈,"광주광역시 광산구 풍영정길29, 1층 (신창동)",062-973-1600,해물탕,아구찜,,,,
대양,광주광역시 광산구 손재로407(오선동),062-962-0073,설렁탕,꼬리곰탕,도가니탕,,,
영양왕족발보쌈,광주광역시 광산구 월곡중앙로59-18(월곡동),062-952-3992,족발,보쌈,,,,
하누맘,광주광역시 광산구 송도로159(도산동),062-942-3339,안창살,꽃등심,,,,
달봉이회수산,광주광역시 광산구 첨단중앙로152번길31-16(쌍암동),062-972-9252,활어회,,,,,
나주배한우,광주광역시 광산구 용아로405(하남동),062-383-0092,안창살,꽃등심,,,,
한솔,광주광역시 광산구 고봉로257(장수동),062-956-2877,꿩요리,닭요리,,,,
다연닭갈비,광주광역시 광산구 왕버들로265번길7(신창동),062-951-0887,닭갈비,,,,,
유목,광주광역시 광산구 첨단중앙로182번길64-1(쌍암동),062-972-3066,굴비정식,한정식코스요리,,,,
신창고을,광주광역시 광산구 신창로86번길7-5(신창동),062-959-3529,칼국수,,,,,
춘천모닭갈비,광주광역시 광산구 신창로138번길18(신창동),062-952-7549,닭갈비,,,,,
하남낙지마당,광주광역시 광산구 사암로216번길10-15(우산동),062-955-8892,낙지전골,낙지철판구이,,,,
7번도로국밥,광주광역시 광산구 손재로 458(오선동),062-953-2112,모듬국밥,뼈해장국,,,,
임가네,광주광역시 광산구 사암로130번길 69(우산동),062-941-5705,육고기류,,,,,
임가네일반,광주광역시 광산구 사암로130번길 65(우산동),062-941-5706,육고기류,,,,,
송원떡갈비,광주광역시 광산구 광산로29번길 12(송정동),062-944-0366,떡갈비,,,,,
광주송정떡갈비,광주광역시 광산구 광산로30번길6(송정동),062-944-1438,떡갈비,,,,,
타오,"광주광역시 광산구 임방울대로327번길,3층(수완동)",062-955-2215,스테이크,파스타,피자,,,
엘리쉬,"광주광역시 광산구 임방울대로338,8층(수완동)",062-955-4664,부페,,,,,
베네치아,"광주광역시 광산구 장신로82,7층(장덕동)",062-959-0604,파스타,피자,,,,
㈜이티앤제우스불고기브라더스,"광주광역시 광산구 장신로77,1-2층(장덕동)",062-956-2961,버섯육수전골,,,,,
파밀레스,"광주광역시 광산구 장신로82,10층(장덕동)",062-953-2180,뷔페,,,,,
주)수완쿠스쿠스,"광주광역시 광산구 임방울대로348,8층(수완동)",062-371-0011,뷔페,,,,,
그랑삐아또수완점,"광주광역시 광산구 용아로 400번길 ,2층(하남동)",062-956-8882,피자,파스타,,,,
미스터쉐프,"광주광역시 광산구 임방울대로800번길 72, 2층(월계동)",062-449-0303,돈가스,초밥,,,,
다미향,"광주광역시 광산구 첨단중앙로800번길 11-6,1-2층(월계동)",062-971-9542,짬뽕,탕수육,짜장면,,,
페퍼가든,"광주광역시 광산구 임방울대로776,2층(월계동)",062-974-1600,파스타,피자,,,,
착한고기,"광주광역시 광산구 풍영로101번안길1-7,2층(흑석동)",062-944-0292,육고기류,비빔밥,,,,
송정떡갈비,"광주광역시 광산구 광산로29번길 1, 1층 (송정동)",062-944-1439,한우떡갈비,떡갈비,오리떡갈비,육회비빔밥,,
형제송정,광주광역시 광산구 광산로29번길 3 (송정동),062-944-0595,원조떡갈비,한우떡갈비,오리떡갈비,육회새싹비빔밥,,
깨소송정떡갈비,광주광역시 광산구 광산로29번길 9 (송정동),062-942-2359,한우떡갈비,떡갈비,땡초떡갈비,,,
이조송정떡갈비,광주광역시 광산구 광산로19번길 30(송정동),062-944-9592,떡갈비,한우떡갈비,생고기,,,
빛고을떡갈비,광주광역시 광산구 광산로29번길 14 (송정동),062-944-6670,돼지숯불떡갈비,한우숯불떡갈비,한우육회,육회비빔밥,,
일송정떡갈비,광주광역시 광산구 광산로29번길 2 (송정동),062-944-9592,향토떡갈비,매운떡갈비,버섯떡갈비,육회비빔밥,,
새송정떡갈비,광주광역시 광산구 광산로 31 (송정동),062-941-3353,한우전통떡갈비,떡갈비,돼지갈비,비빔밥,,
종가집떡갈비,광주광역시 광산구 광산로19번길 25 (송정동),062-943-8282,한우떡갈비,오리떡갈비,돼지떡갈비,,,
송극,광주광역시 광산구 광산로19번길 10 (송정동),062-942-0033,떡갈비,육회비빔밥,돌판비빔밥,오리탕,오리주물럭,
화정떡갈비,광주광역시 광산구 광산로29번길 6 (송정동),062-944-1275,떡갈비,비빔밥,생고기비빔밥,갈비찜,육회,
동성떡갈비,광주광역시 광산구 광산로29번길 16 (송정동),062-944-8686,떡갈비,전통떡갈비,한우떡갈비,육회비빔밥,,
장안낙지,광주광역시 광산구 광산로30번길 5(송정동),062-942-4545,낙삼탕,낙지전골,낙지볶음,낙지초무침,,
유자골한우,"광주광역시 광산구 첨단중앙로124번길 60 (월계동,(1층))",062-956-3392,생고기,갈비살,꽃등심,,,
굴세상,"광주광역시 광산구 신창로36번길 15 (신창동,(층))",062-531-0147,굴국밥,굴해장국,굴순두부,굴매생이국,,
장수옻닭오리,광주광역시 광산구 첨단내촌로70번길 52 (월계동),062-961-6969,오리탕,황칠옻닭,,,,
이복심동태랑아구,"광주광역시 광산구 산월로21번길 6 (월계동,(1층))",062-973-8700,동태탕,아구찜,동태전골,,,
전철우음식사랑&cafe(남부대점),"광주광역시 광산구 첨단중앙로 23, 110동 지하1층 (월계동, 남부대학교)",062-944-7575,왕갈비탕,왕동가스,코다리냉면,,,
페퍼가든,"광주광역시 광산구 임방울대로 776 (월계동,(2층))",062-974-1600,파스타(까르보나라),마르게따피자,,,,
영광굴비한정식,광주광역시 광산구 첨단중앙로124번길 37 (월계동),062-973-0053,굴비정식,굴비정식상차림,,,,
우리두리청국장,"광주광역시 광산구 첨단중앙로124번길 23 (월계동,(1층))",062-972-3227,청국장,해물순두부찌개,매콤돼지갈비,,,
너나우리,광주광역시 광산구 첨단중앙로116번길 31 (월계동),062-971-7500,생선모듬구이,메로탕지리,랍스타회코스,,,
통큰감자탕,"광주광역시 광산구 어등대로 443, 1층 (선암동)",062-941-3004,감자탕,등뼈찜,등갈비구이,뼈해장국,,
무봉리토종순대국호남대점,"광주광역시 광산구 어등대로 449 (선암동,(1층))",062-944-0600,뼈해장국,철판볶음,순대국,참순대,,
선암미가,"광주광역시 광산구 어등대로459번길 40, 1층 (선암동)",062-942-1177,한방백숙,한방닭곰탕,닭국수,퇘지주물럭,,
윤가네,"광주광역시 광산구 선운로20번길 12, 1층 (선암동)",062-941-3555,생태탕,알탕,볼테기탕,애호박찌개,,
진곰탕,"광주광역시 광산구 선운로2번길 9, 1층 (선암동)",062-946-3344,곰탕,수육곰탕,수육,,,
매월농원,광주광역시 광산구 구촌반촌길 242 (신창동),062-954-5164,오리구이,,,,,
달맞이흑두부,광주광역시 광산구 북문대로 500-17 (신창동),062-972-8465,흑두부한방보쌈,흑두부버섯전골,,,,
신 한국가든 일반 음식점,광주광역시 광산구 장신로 346 (신창동),062-971-9292,떡갈비,돼지갈비,꽃등심,삼겹살,,
요리하는남자(요남자),"광주광역시 광산구 첨단중앙로 96, 2층 211호 (월계동, LC타워)",062-973-5201,떡갈비스테이크,,,,,
연경(첨단점),광주광역시 광산구 첨단중앙로152번길 31-13 (쌍암동),062-951-9601,짜장면,삼선간짜장,삼선짬뽕,탕수육,,
산들해,"광주광역시 광산구 임방울대로825번길 51, 1층 (쌍암동)",062-974-1044,낙지볶음,병어조림.민어탕,굴비정식,,,
돈마니,광주광역시 광산구 임방울대로825번길 60-2 (쌍암동),062-973-2136,감자탕,묵은지감자탕,돈미나뼈찜,등갈비,,
지리산건강밥상,"광주광역시 광산구 앰코로 35, 5층 501(일부)호 (쌍암동, 폭스존)",062-974-9998,산채비빔밥,생고기산채비빔밥,카레라이스,돈까스,,
맛존(ZONE),"광주광역시 광산구 임방울대로826번길 29-25 (쌍암동,(1층))",062-972-5788,키조개차돌박이전복삼합,전복구이회,생선구이,꽃게알탕,,
가매항,"광주광역시 광산구 월계로 217 (쌍암동,,121호)",062-973-6690,짜장면,삼선짜장면,삼선짬뽕,탕수육,,
향천옥,"광주광역시 광산구 목련로2번길 29-52, 1층 (산정동)",062-955-4200,해물옻닭,해물약백숙,해물닭도리탕,해물삼계탕,,
대한수산물회백화점,광주광역시 광산구 용아로 255 (산정동),062-962-6565,광어,우럭,참돔,농어,,
국선지네닭,"광주광역시 광산구 용아로 340 (산정동,(1,2층))",062-951-8292,한방지네중탕,한방지네닭,한방지네오리,한반엄나무백숙,,
하누골,"광주광역시 광산구 무진대로231번길 29-17 (우산동,(1층))",062-959-3380,소곱창모듬전골,삼겹살김치찌개,전통선지해장국,,,
한나낙지마당,"광주광역시 광산구 무진대로231번길 30-19, 1층 (우산동)",062-959-5218,낙지덮밥,낙지전골,낙지해물찜.산낙지연포,,,
김치찌개전문점,광주광역시 광산구 무진대로231번길 30-17 (우산동),062-961-7360,김치찌개,김치치즈볶음밥,돈까스,,,
등뼈감자탕,광주광역시 광산구 무진대로231번길 30-26 (우산동),062-955-7775,감자탕,묵은지감자탕,우리뼈삠,해장국,,
미락,광주광역시 광산구 무진대로231번길 14 (우산동),062-953-7546,콩나물해장국,복어해장국,다슬기해장국,닭곰탕,,
남도길,"광주광역시 광산구 임방울대로826번길 7-4 (쌍암동,(2층))",062-972-5355,한정식,굴비정식,계장정식,우럭탕,,
마포숯불갈비,광주광역시 광산구 임방울대로825번길 22 (쌍암동),062-972-9211,갈비,불고기,제육볶음,갈비탕,,
죽향담양전통숯불갈비,"광주광역시 광산구 임방울대로825번길 59 (쌍암동,(1층))",062-973-7792,숯불갈비,떡갈비,소떡갈비,삼겹살,,
첨단약흑염소,"광주광역시 광산구 첨단월봉로 58 (산월동,(1,2층))",062-973-0433,흠역소탕,흑염소전골,,,,
해담,"광주광역시 광산구 임방울대로825번길 21 (쌍암동,(1층))",062-971-9300,알탕,대구탕,생선구이,메로찜,,
해미원,"광주광역시 광산구 용아로 364-1 (산정동,(1층))",062-959-5292,아구찜,서대회무침,대구전골,볼테기전골,,
